Product Name,Price,Rating,No. of reviews,Buy link
"Redmi Note 8 Pro (Gamma Green, 128 GB)","₹17,999",4.4 out of 5,"80,033 Ratings & 6,932 Reviews",https://www.flipkart.com/redmi-note-8-pro-gamma-green-128-gb/p/itma893ee04ac0a4?pid=MOBFHFFTCGQMTGZH&lid=LSTMOBFHFFTCGQMTGZH9Y8PHF&marketplace=FLIPKART&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFHFFTCGQMTGZH.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 pro max (Aurora Blue, 64 GB)","₹14,999",4.4 out of 5,"2,676 Ratings & 182 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-aurora-blue-64-gb/p/itmfda9b577e6466?pid=MOBFTFETGANGQSKB&lid=LSTMOBFTFETGANGQSKBFXQYPO&marketplace=FLIPKART&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFTFETGANGQSKB.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro Max (Interstellar Black, 64 GB)","₹14,999",4.4 out of 5,"5,890 Ratings & 483 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-interstellar-black-64-gb/p/itm7dffdce5d6370?pid=MOBFUFTCKCPHZTQX&lid=LSTMOBFUFTCKCPHZTQXROREHT&marketplace=FLIPKART&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFUFTCKCPHZTQX.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro Max (Champagne Gold, 64 GB)","₹14,999",4.4 out of 5,"5,890 Ratings & 483 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-champagne-gold-64-gb/p/itma6155aa76e6be?pid=MOBFV99GD4BZRXFD&lid=LSTMOBFV99GD4BZRXFDF8PVPV&marketplace=FLIPKART&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFV99GD4BZRXFD.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro Max (Interstellar Black, 128 GB)","₹18,299",4.4 out of 5,"5,890 Ratings & 483 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-interstellar-black-128-gb/p/itmb47f59cf8b7c3?pid=MOBFRWZN9WHWZKZJ&lid=LSTMOBFRWZN9WHWZKZJFGYUOI&marketplace=FLIPKART&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFRWZN9WHWZKZJ.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro (Interstellar Black, 64 GB)","₹13,249",4.4 out of 5,"14,668 Ratings & 1,075 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-64-gb/p/itma84d60532d415?pid=MOBFPZXUJHMYCBFK&lid=LSTMOBFPZXUJHMYCBFKKQXEIL&marketplace=FLIPKART&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFPZXUJHMYCBFK.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹16,899",4.3 out of 5,"1,078 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itma84d60532d415?pid=MOBFPZXUT5FX9GUH&lid=LSTMOBFPZXUT5FX9GUHBV7YRQ&marketplace=FLIPKART&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFPZXUT5FX9GUH.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹17,977",4.3 out of 5,"1,078 Ratings & 65 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFPZXUYDHUHNNN&lid=LSTMOBFPZXUYDHUHNNNUQ8I4M&marketplace=FLIPKART&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFPZXUYDHUHNNN.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro Max (Aurora Blue, 128 GB)","₹18,579",4.4 out of 5,"5,890 Ratings & 483 Reviews",https://www.flipkart.com/redmi-note-9-pro-max-aurora-blue-128-gb/p/itm6306e1d4476e3?pid=MOBFU84TNRP5YDMX&lid=LSTMOBFU84TNRP5YDMXYQEYFS&marketplace=FLIPKART&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFU84TNRP5YDMX.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro (Aurora Blue, 128 GB)","₹14,549",4.4 out of 5,"14,668 Ratings & 1,075 Reviews",https://www.flipkart.com/redmi-note-9-pro-aurora-blue-128-gb/p/itma84d60532d415?pid=MOBFUUN6B5XSFYXT&lid=LSTMOBFUUN6B5XSFYXTFIZ2VA&marketplace=FLIPKART&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFUUN6B5XSFYXT.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro (Glacier White, 64 GB)","₹13,426",4.4 out of 5,"14,668 Ratings & 1,075 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-64-gb/p/itma84d60532d415?pid=MOBFPZXU9QDDSKNU&lid=LSTMOBFPZXU9QDDSKNU9DUKVG&marketplace=FLIPKART&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFPZXU9QDDSKNU.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹14,234",4.4 out of 5,"14,668 Ratings & 1,075 Reviews",https://www.flipkart.com/redmi-note-9-pro-interstellar-black-128-gb/p/itm0418537d115ba?pid=MOBFUZYNSYP64TQK&lid=LSTMOBFUZYNSYP64TQKAQNQ5Q&marketplace=FLIPKART&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFUZYNSYP64TQK.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
"Redmi Note 9 Pro (Glacier White, 128 GB)","₹14,233",4.4 out of 5,"14,668 Ratings & 1,075 Reviews",https://www.flipkart.com/redmi-note-9-pro-glacier-white-128-gb/p/itma84d60532d415?pid=MOBFUSGFZDDJHWMG&lid=LSTMOBFUSGFZDDJHWMGPCFWFR&marketplace=FLIPKART&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=0f7cc465-415d-4d57-bef6-10423ecd4822.MOBFUSGFZDDJHWMG.SEARCH&ssid=55bqgb4w680000001612693904451&qH=031f5904912f80dd
